# patterns: 50
#      x1        x2        x3        x4        x5        x6        x7        x8        x9       x10           y
 -6.21888  -2.75432  -3.87192  -6.01598   7.35184  -3.04332  -6.53606  -0.47999   2.23942   8.52827  -173.40839
  2.46149  -7.12254  -7.26808   7.22184  -2.58311  -8.18032  -7.15903  -4.23762  -7.97376  -4.04927    81.15516
  3.26612  -8.91142   3.54315  -9.91273  -1.44090  -1.05199  -6.76987  -3.75655  -9.57147   5.16981  -105.75098
  6.06333   7.45455   5.55315  -5.52793   7.72842   5.64876  -6.95888  -6.63478   8.44938   2.43847   -47.07068
  8.89268   6.42559   2.95691   0.46760   7.23747  -9.82245   4.44467   2.11942  -7.57545  -9.03520   181.49720
  9.91949  -8.90169  -9.11416   6.76581   7.71958   9.28510  -9.45239  -1.96893  -0.35294   8.59714  -173.96871
 -4.85169   6.60026  -3.25647  -4.42348   4.12477   6.42699  -4.66095   0.43336  -1.25184   0.42039    -6.03334
  0.62068  -3.47979   2.14347   4.92590  -1.91354   5.66959   1.34473  -6.10538  -9.58318   4.24369   -84.64594
 -9.39949   2.77089   3.29090   2.99795   0.28881 -10.00506  -7.05054  -3.29077   5.22380  -7.77864   155.77885
 -3.83061  -6.38652   8.74731   5.29091   1.84729   1.88743  -4.68667  -2.62281  -6.48645  -2.47344    49.71756
 -5.37391   0.47550   1.99088  -9.59971  -9.22153  -7.77203   6.71113   7.12703  -1.07159  -1.73478    35.86006
 -1.49461  -1.79273   6.23082   1.37956  -3.79728  -7.02903  -0.07808  -5.25298   4.32298   0.33247   -10.28392
  3.89363   5.75272  -1.51588  -2.04261  -8.18003  -7.24436  -6.30021   8.66908   4.36405  -1.78981    35.64350
 -3.51382   3.06285   5.11198   6.10135  -8.63358   5.92945  -7.29117  -8.38339  -9.11280  -6.11013   124.47710
  3.61678   6.47905  -9.89253  -0.90409  -4.40685   9.01443   1.17026  -8.85861  -5.93496  -1.04835    21.73527
  6.31835  -6.03221  -8.09090   4.17005   3.48079   5.80182   2.02142  -7.73604   2.91188   2.66097   -54.20538
  3.68579  -5.06979  -5.56515   0.85008   6.39159   8.73735   9.55405  -4.35758  -3.23925  -5.61505   115.83444
 -6.57139   3.32882   0.36394   9.66789   2.31006  -5.63276  -3.56533   8.27631   8.65166   3.57297   -74.03562
 -6.52232  -8.48573  -5.65689   8.23358   2.17545  -1.96891  -2.18083   9.59109  -6.91063   7.25044  -146.31293
 -4.66446   5.06789   0.18982   8.88582  -3.59892  -8.59181   4.17716  -8.96877  -6.97135   8.78619  -179.57940
  6.01409  -8.81466   8.98847  -2.31052  -9.11405   7.83558   1.07755  -9.41376  -1.48436   5.55066  -111.21138
  7.30146  -3.61786  -2.42037   6.70932  -2.63198  -6.16079  -8.22151   0.11166  -7.90306  -5.12710   102.08395
 -0.43847  -8.46985   6.73297  -4.14211  -2.99997   1.29178   9.19650  -7.96290   4.64700  -5.20645   105.04758
  1.99797   2.00224  -1.27415  -9.00384   2.26148   1.16130   8.74748   9.27736   2.79608  -7.68676   156.58698
  9.89064  -7.05705  -1.92358  -8.43548  -8.48612   7.11489   3.40114   9.29965   1.19293   5.94339  -118.23197
 -4.37663  -2.54770   4.78112  -5.45926   5.84158  -6.18185  -0.30031   1.45706   8.28823  -2.00407    38.46819
  2.90392   7.09389  -7.34201  -5.48532   4.39618  -8.16418   7.91405  -8.00436   5.94880  -9.82263   199.30936
  7.14436   2.59762   7.77692   6.05707  -9.41797   1.59395  -8.87815   9.42420  -5.62705  -1.53831    31.68236
 -7.22801   1.29399   6.27457  -9.64815   3.40259   1.02303  -6.09128  -2.13229   0.84736   9.93360  -200.67784
 -8.12659   7.74059  -3.72293  -4.59761   4.51362   0.17031  -5.60819   6.87690   7.31108  -0.05863     0.65065
 -3.61064   3.11039  -0.99351  -1.12809   5.27315  -4.60252  -9.94075   0.68232  -2.67594  -8.70367   174.48523
  8.80631  -0.37741  -0.36253  -5.65800  -5.74150   4.33857   7.87539  -1.73838   5.25103  -4.75097    96.67312
  6.24589  -2.79179  -0.70839  -4.46887   5.70230   6.94460  -4.94662  -8.12261  -2.31824   7.52391  -150.52448
  3.65249  -9.82328   2.80308   1.76129   9.76907  -7.64720   9.71295  -5.26411  -1.44469  -1.62038    31.28634
 -8.79522  -3.31956  -4.97492   2.02148   2.63047   6.10595   1.12722  -7.61108  -4.97424  -0.42573     9.82941
 -2.98169  -8.21505   9.85929   5.30085   4.03612  -6.36048  -1.69088   2.87399  -1.60161  -0.39002     7.13546
  2.49275  -7.70839   4.67367  -1.75316  -2.45471   0.50558   4.57954   5.84048   8.12770   8.98352  -181.61484
  2.97543   5.81457  -9.85478  -9.86875  -4.70654  -1.23763   4.98970  -6.15034  -7.70037   1.43927   -32.08927
  0.19084   0.13337  -7.38928  -1.47372   4.46370  -8.22014   3.23067  -5.54369   1.04665   0.18170    -3.37910
  7.13688  -4.54818   2.20823  -2.31732   3.91253   1.35955  -0.34291   6.49032  -5.75109  -3.31431    67.22613
  7.14164  -4.20754  -3.24539  -1.22931  -7.77452  -6.65271  -8.15605  -7.63805  -1.14908   5.09587  -106.10713
  1.05418  -6.17683   8.20843   8.02512  -3.23534   4.82912   7.52368  -8.85593   4.14157  -7.23415   146.74407
 -5.12845  -9.78278  -8.20850  -3.10995  -4.80910   8.54190   8.91465  -0.17078   9.00134  -4.94702   101.56872
 -2.66571   3.43728  -3.77494   0.98611   9.10864   0.41578   0.73785  -7.12768   4.19707  -9.46329   191.49608
 -1.36023  -1.09576  -8.02562   1.93968   7.53607   1.31660  -4.33893  -7.36294   0.86761   5.81493  -117.58872
 -2.64639   4.50660   8.96971  -7.32588   6.34881  -2.02767  -2.32690  -0.99582  -9.86219   6.65965  -134.19573
  8.67341  -6.98175  -5.74619  -0.32107  -9.17506  -8.76180  -6.49088   5.11546   0.32334   5.27583  -107.70968
 -5.66452   6.82385  -6.89790  -3.78895   3.86257   4.30768  -5.28361  -0.98299  -0.75762   2.24086   -47.36524
 -8.10653  -1.45727  -9.86959   6.44050  -4.04819   5.25905  -9.79799   2.85144  -8.74047   3.85856   -76.75516
