# patterns: 50
#      x1        x2        x3        x4        x5        x6        x7        x8        x9       x10           y
 -2.40674  -9.38494  -2.78316   4.37819   3.54720  -8.64940   2.14107   1.73282  -2.35659  -3.74312  -332.76436
  3.29769   0.54395   9.47162   9.27648   8.78712  -8.71076  -6.56769   0.89441  -9.32704  -8.65896  -274.01266
 -0.06281   7.57996  -7.24281   9.34957  -9.16369   9.31247  -1.59739   3.01422  -1.93164   4.48720   233.92209
 -9.41259   4.64913   5.89735   7.03689   9.75270   1.84834   2.81475   7.22308  -9.57783  -3.65579  -140.03257
 -9.75531  -0.93941   4.22952  -1.70157  -9.75435  -2.72869   2.43587  -2.45733   0.58629   3.47746  -103.73883
  3.16904  -2.97299   6.23772  -8.72274  -4.79812  -0.59007  -9.04851   9.08002   0.86881   0.74299    26.90432
  0.03940   5.62311   3.73196  -6.38071   5.50006   6.00675   4.23909   5.41809  -0.54519  -6.56400   200.46205
  4.58526   2.07945   2.18522   4.95636  -3.90011  -2.10007   5.56326  -8.48968  -1.85483   9.15794    89.94910
  2.19506  -0.70033  -1.62083  -0.74307  -3.47252  -7.26305   6.38923   8.22971   0.24047  -0.10570   -36.33066
 -0.71403  -6.20860  -3.26388   9.60904  -4.40051   8.57475  -1.77806  -3.12961  -1.50181  -0.73991    20.44241
 -7.79213   4.27505   7.95118   2.38708  -3.90894  -3.31145  -9.48478   2.97987   0.59289   5.98858  -169.73872
  2.11700   9.12421  -0.90398   1.65648  -9.32520   9.83353  -8.57260   3.53299  -8.90479  -4.11004   283.87586
 -7.25303  -1.15413  -8.51802   3.53006  -5.11951   8.86950  -2.83161   7.49499  -4.21538   1.98688    30.38368
 -9.57789  -5.54003  -9.05316  -3.26613   3.18695   9.74380   3.57777  -5.41005   2.74918  -9.25173    -7.28060
 -9.57370  -0.63878   2.88788   5.20423  -3.93736   9.92466   4.33034   6.58730   4.43505  -3.62666    49.22043
 -1.61429   6.30021   6.39337   2.24797   9.88935  -6.59082  -5.34632   8.64899   9.02484  -5.10330  -183.96545
  7.90961   9.87745   6.63658   9.35170   5.33493  -2.93283  -4.01698   0.01317   2.84267  -2.80655    44.44335
  5.39983  -8.28419  -7.55044  -4.39534  -9.42861  -2.48500   6.05708  -4.51809  -6.16346  -1.70920    62.94027
  3.34559   3.79435   5.88416  -0.85209   3.60133   0.45593   3.85611  -4.63584   9.39932  -5.22032   104.33976
  6.97659   2.61897  -5.49466   6.16651   0.26017   1.14171  -6.65822  -6.86390  -2.15698   4.58412    63.31847
 -1.99894   8.78246   1.50391   8.52179   3.14356  -7.73549   0.03648   3.68953   1.23579   0.78332  -141.22087
 -9.21745  -6.00825   9.36618   6.63834   3.18889   9.45137   5.12928   8.04508  -8.27920   8.25645   -49.02118
 -3.74331  -6.98336  -4.67193  -0.32195   9.85009  -6.08381   3.72883  -4.98401  -2.72329  -1.58074  -271.79790
  7.45527  -3.74875  -5.13179   4.02688  -1.97013   8.53723  -5.34079   7.69840   3.03677  -5.70535   154.28661
  1.86168   1.63978   0.38560   0.07854  -8.58282   9.56319  -0.16685   3.63637  -1.48758  -1.34389   261.02116
 -4.19646  -4.44219   8.34372  -8.96853   1.22588   9.38312  -1.53953  -6.60992  -7.04369   2.97950   102.75560
  8.60693  -5.49580  -0.31553  -3.84421  -5.13229   4.11455   2.54253  -7.00616   2.39560   7.42306   215.73507
  3.09418  -9.37457   2.73237   8.32338  -9.28025   3.03467   0.85267  -8.67267   1.63681  -3.53140    -5.59722
  0.54043   4.60151  -5.46042  -5.17875   7.92994  -9.88678  -5.23092   3.39017  -6.74153   6.15916  -159.03886
 -4.37664  -7.23919   6.37444  -4.70503  -6.48727  -1.47391   8.83247  -5.39290   5.81403   4.66030   -29.18473
  4.54620  -8.49332  -5.75298   9.76350  -6.27377  -5.08458   7.91367  -4.89166  -2.50395   5.72468   -88.48377
  4.56586   1.25941  -4.26687   6.56555  -9.08147   1.71446  -3.72595  -4.79762   5.90717  -7.03421    85.63167
  3.10395  -4.20208   6.41764   2.54625   5.90756  -9.75478  -5.17638   2.71398   4.13829  -1.00592  -264.02967
 -6.54794   4.22802   6.76425  -0.29216   1.31359   4.75438  -2.39649  -9.77464   5.15571  -7.40593    10.37094
  1.47940   9.83895   4.01318   3.60576   2.49963  -9.50530  -6.61948  -9.62024  -4.66352  -6.94480  -130.88943
 -2.24848   6.90826  -3.87372  -7.57368  -9.80568   2.00274   6.59318   9.54413   4.13923   7.91051   246.02381
  4.37256   6.90840   4.34861  -4.69344   8.28080  -3.32666   9.11269  -3.44092  -1.53580   8.80314   135.04014
 -8.87645  -7.61730   5.14373  -9.75300  -2.16715   3.25647  -3.74083  -8.41087   4.42061   1.59455   -95.21559
  8.50044  -0.63796   7.30144   4.73849   7.48882  -8.44766  -9.38682   8.79758   8.54661  -7.70870  -186.19531
  1.09587  -8.18801   8.96351  -7.88327   7.85803   0.52710   5.58362  -2.32151  -5.23683   7.46751   -13.90894
  7.39703   1.00238  -9.53393   0.51224  -4.04087  -0.14140   9.15351  -4.59644  -3.32419   2.31181   197.54111
 -9.47402   7.99547  -4.90797  -9.06944  -3.92728   3.39138  -7.45039  -9.64222  -2.38737   5.04997    55.74436
 -6.34431  -8.55156   0.79820  -2.43017  -1.91416  -0.55092  -8.63772   7.10644   7.28636  -6.02047  -231.65077
  6.56846   5.62884   8.72849   2.31211   7.71656   3.00913  -7.37659   0.80982   3.07215   5.03828   102.88708
  0.50567  -5.27916  -6.23638   8.68143   8.58776   1.43314   8.62164   7.33394  -9.15983  -0.37411   -80.44884
 -3.49147   6.16463   4.40761  -4.73530   0.63168  -6.14515  -9.91267   6.55103   9.21109   8.72412  -115.95513
 -3.97849   4.60106   2.35210  -4.57597   3.25972   0.23191   1.45672   1.77605   7.17125  -9.15833    11.61176
  1.29482   8.46784  -6.37094   6.89364   0.42445   5.26386  -9.21107   1.47530  -3.01808  -1.23027    90.84423
 -6.76187  -8.83098  -1.99930   1.09720  -1.06910  -8.63057   1.75195  -0.18148   3.04615  -7.39167  -343.20185
  3.40686  -5.60893  -8.44417  -2.09176  -4.76213  -3.29358   9.06908  -7.09876   5.34413  -3.37572    28.59896
