# patterns: 50
#      x1        x2        x3        x4        x5        x6        x7        x8        x9       x10           y
  4.18987   8.30771   4.44047  -2.96045   7.78298   8.44775   8.57715  -1.59188  -8.19612  -5.34793   168.68079
 -2.79121   5.95088  -6.33901   3.24075   0.70255  -0.92566   3.73756   6.33028   3.46149  -8.84947   -79.59519
  9.35164   5.84008  -8.71498  -7.13317  -0.54985  -7.39531  -1.65751   9.31087   9.00703  -0.74601     8.16651
  7.24577  -0.38480  -5.57901  -9.05222  -6.66008  -2.20831  -3.82044  -0.47721  -5.24470   4.80094   135.89184
 -6.88656   2.82549   1.45159   5.77246  -3.95854  -0.01639  -9.41203   5.30326  -9.08309   8.14835   132.53823
  1.54873  -9.97040   5.61667   0.96903   1.87970  -2.16723  -9.09522  -0.04479   8.46297   3.90318  -151.25862
 -5.40238  -5.92964  -8.63529  -3.15017   1.17358  -9.73995  -7.76273  -7.17266   4.17852   3.63384   267.42563
  4.64310   4.69687  -7.40582   4.78380   9.63206  -2.38288  -6.50546  -2.93682   0.24219  -1.36202   278.03799
 -6.34031  -0.08946  -9.52736   0.17506   1.53028  -3.01035   7.58113   6.96932   1.59344   2.66690    91.02166
  2.99949  -3.68981   7.50198  -0.68995   2.90410  -7.98125  -8.21521   7.56213   9.20569  -0.98716    63.34157
  4.56433   2.55098  -5.24851   7.06114  -4.54828  -2.70367   0.23262  -0.86117  -6.13459  -6.58726   126.55734
  9.54857   4.92250   7.81886   0.77165   3.71342  -5.99222   9.34764   8.32598   8.40929  -4.72205    45.75714
  4.70770   9.87519  -0.58221   3.62696   8.92256  -4.40562  -6.74626   8.14730  -4.45050   1.32157   470.02172
  7.76796  -2.06823   9.44411   0.16868   0.98186   4.04865  -8.64198  -9.59878  -2.92437  -6.84650   -27.55547
  2.40032  -3.97025  -5.13207   8.29250  -0.93621  -8.88333  -0.21172   2.24243  -1.93527  -1.15205   297.88369
 -8.11985   7.04021   1.18893   3.61278  -9.08791  -7.89596  -4.66851  -9.17504  -7.11669  -4.25523   255.10741
 -6.49978  -8.34604   7.90658   7.05146   5.63940  -4.89630  -8.51143   1.92506   7.53138   5.27206    23.98898
 -6.86512   2.12883   2.56728  -5.27090  -9.45735  -3.51154   4.94494   8.74652  -5.39501  -6.26856    88.46538
 -2.19892  -5.55611  -5.55983  -7.43957   6.85660  -2.99298  -3.17505  -9.94311   7.59383   8.92641    91.59493
 -3.24937   5.42612   7.92460  -7.19146  -5.99857  -4.99213  -8.71270  -5.45767  -8.33344  -7.19972   326.22916
 -8.53386  -8.58316   3.71357   6.46532  -0.22960  -8.38663   4.47648  -4.13890  -9.28420   6.68516   546.28945
 -0.80669   7.51593  -4.66225   0.03391  -5.29924  -5.52956  -0.46301   2.93956  -6.45553   1.77005   258.33070
 -8.92096   8.44800   4.83062   0.38166  -9.39463  -4.56791   6.52102   7.67347   8.81622   2.68929  -348.70411
  9.10010   5.55497   4.84501   6.63224  -8.69305   2.14880  -5.20755   4.96319  -0.13150   3.03159  -342.46803
  7.07894   0.34341   3.70170  -7.78189   8.86482  -8.71498   0.60193 -10.02856   5.28691  -0.61095   428.73529
 -7.47030  -2.89185  -5.65760   0.67525   9.59576  -7.97481   7.20369  -5.94416  -8.96362   0.89398   807.91325
 -2.93050  -9.54814   0.48625  -0.44545  -7.18881   4.44440   8.02203  -9.13095  -0.58834   3.12745  -288.86273
  2.76682  -7.08779  -4.93878  -1.54266   8.25315  -3.11930  -9.31514  -2.66060  -0.46439  -6.43737   331.35867
  7.34898  -6.33001   0.37620   3.29817   0.87391  -4.06010  -6.63811  -8.20859   3.05346  -1.56527    61.56173
 -6.60042   5.78534  -9.99706   5.79726  -9.51196  -0.37371   6.49161  -0.24575   0.61422  -7.27952  -268.50017
  4.42595  -9.84151  -8.28262  -4.25594  -0.75528  -5.85085   7.14276   9.75876  -7.36074  -4.83875   448.26508
 -4.30303   9.41531  -6.95591   8.97065   9.40131  -2.63131   9.73862  -3.52163  -4.43988  -2.82612   412.21645
  2.31641  -0.10876  -0.36538  -8.28795  -3.03576  -9.72708   6.66200   2.32593   7.60149  -9.35339    93.38240
 -3.14038   1.54113   3.60673  -1.45213  -1.52070  -9.15421   2.16657  -1.52483  -6.06056   4.54884   489.56645
  9.74342   0.80836   0.32687  -8.45070   7.24496  -1.87838   9.38463   0.49124   5.47320  -9.85174   137.65572
 -3.37466   0.72741  -4.80940   7.02783   3.10737  -3.58278   6.21060  -6.49532  -5.04319  -2.49651   332.16878
 -8.98339   8.83149  -9.79662  -2.47912  -9.22573   5.34478  -7.97631   6.39764   0.62093  -7.63060  -433.74725
 -1.57433  -5.83852  -9.96354  -8.28850  -9.11415   9.03608  -9.36696   5.61276  -2.33397   3.48317  -432.67476
 -5.94970  -3.91249  -1.36396  -6.44168   0.19285   9.61832  -5.46524   8.74083   8.01918  10.04464  -564.04724
 -5.36511  -1.34281  -1.08446   2.54982  -3.27860   8.86570  -5.36395   0.18653  -0.12516   9.96163  -414.73067
 -8.87467   9.93253   4.40423   0.20879   9.86815  -7.06091   5.10659   6.07729   8.74755   5.83264   208.70286
 -6.92364  -1.04222   1.22198  -2.98733   0.04565  -4.64216  -6.24607   9.89863  -9.59084  -7.04229   467.08894
 -2.95706  -0.64885   8.83720   6.97198   5.81329   0.12777  -2.05036   7.84011   1.63608   8.84852    27.53687
 -8.60170  -5.20944  -9.00922   6.64058  -8.53450   6.13615  -0.01420   3.44527   4.35221   6.06698  -606.74644
